id;reference;name;brand_name;description;type;manufacurer_name;version;created_at;updated_at
1;gah pajamas wherever;treasured needily;behind euthanize;as where above;er noxious;customise;overfeed near;2024-03-27T10:11:27;2024-03-26T20:10:59
2;phooey;minus;how beside joshingly;churn zowie blackness;penalise solemnly near;unkempt;whose pompom ew;2024-03-26T17:24:41;2024-03-27T04:26:20
3;psst sans kayak;failing once;heat cry gadzooks;phew;fence mechanism;hmph anxiously;collection olive;2024-03-26T21:40:26;2024-03-27T04:52:02
4;a generate when;bait unto yahoo;disabuse bus gah;repeal aside;whether by infinite;meanwhile a;meh;2024-03-26T21:44:38;2024-03-26T18:16:26
5;ouch;since spicy bah;ah likewise;likely whenever memorial;meanwhile many;canonize;which sprinter;2024-03-27T11:30:15;2024-03-27T05:33:17
6;charity amid gadzooks;clear between binoculars;tabby yahoo;teapot idle;dim ornery tightly;now;supposing printing oh;2024-03-27T00:12:41;2024-03-26T15:24:52
7;handsome;valiantly;smolt disclaim;envious yuppify refer;eek frenetically huzzah;whether whereas;unto beyond scarcely;2024-03-26T19:00:46;2024-03-27T08:29:23
8;ouch monstrous;crew seldom;mockingly;huzzah polished;integrate which;concerning how;regal huge;2024-03-27T10:43:57;2024-03-26T14:57:42
9;nervously windshield hence;fool hence;because humiliating chubby;yum after;speedily;readily recent;yowza outweigh;2024-03-26T19:18:18;2024-03-27T09:45:03
10;whether yahoo inside;yet notwithstanding;gah yodel;acidic;that loosely that;gah boohoo;near so outgun;2024-03-27T08:44:12;2024-03-27T06:42:54
