id;reference;name;legal_name;description;tax_id;email;telephone;url;address;postal_code;region;locality;country;location;created_at;updated_at
1;yahoo gadzooks;stone;yum so;museum;puzzling only;MariaCristina74@hotmail.com;961 558 425;https://rapid-cake.com.es;wonderfully wasp ha;nor;pimple;vital heavenly that;Bélgica;of champagne;2024-03-27T03:56:24;2024-03-26T14:49:02
2;woot aha;impossible execution querulous;itchy bitterly;never disinhibit overheat;cod gruesome;MiguelAngel_ZambranoPuente88@yahoo.com;991-088-939;https://even-roll.com.es/;puzzling graft ha;geez once determined;phooey;warped;Chile;however aha aboard;2024-03-26T18:44:07;2024-03-27T03:13:40
3;wan;however poorly meh;tenant;really whoever;craftsman modulo enthusiastically;Cristobal.CardenasCarreon41@gmail.com;917 959 896;https://mature-overheard.info/;green regarding;geez;ugh perky somber;local activation;Malasia;sight uh-huh;2024-03-26T20:56:54;2024-03-26T14:36:08
4;like;amid challenge unabashedly;pilot;immense;next dust;Jeronimo_MascarenasAlcala@gmail.com;994186656;https://nifty-vitality.es;aw;semantics joyously;whoever;uh-huh as;San Marino;along fedelini embitter;2024-03-27T11:22:07;2024-03-26T21:42:27
5;via quizzical major;during mmm thankfully;righteously so;crook;till darling;Alberto_ReynosoSalinas40@yahoo.com;963-552-376;https://early-rostrum.eus;like;geez reveal;why;file darkness gadzooks;Islas Faro;onto nervous;2024-03-26T16:42:56;2024-03-27T08:53:37
6;handball specific;hoof muffled via;heartfelt;yet;whenever migration;Conchita.EsquivelMontoya@hotmail.com;959690810;https://rare-subcomponent.info;locate stride;brightly;via;scissors despite;Senegal;hence but behaviour;2024-03-27T11:02:56;2024-03-27T06:46:05
7;youthfully furiously guestbook;upward;preparation through ha;around clog although;happily;Emilio_SalcedoOjeda@hotmail.com;908403540;https://excited-tuition.org/;reproachfully gator;pulp opposite astride;learning;near consequence;Tanzania;yuck anenst matriculate;2024-03-26T23:11:30;2024-03-26T21:18:37
8;instead;selfishly whereas;dagger sousaphone;wherever;brr whenever holster;Mercedes.RobledoVargas@gmail.com;960018019;https://bony-chamber.com;nail;wherever;as except midst;document overreach policy;Maldivas;whoa never ouch;2024-03-27T10:30:52;2024-03-26T21:09:44
9;pish;hmph oof cradle;aha cruelly policy;till uncommon;broadly;Antonia96@yahoo.com;980-968-234;https://hard-ethyl.cat;throughout as implant;beside at optimise;downchange ah greatly;anxiously forage blah;Eslovenia;reign ah cast;2024-03-26T18:32:29;2024-03-26T21:02:45
10;mid of successfully;private even;tussle;comptroller cleave;elliptical nor;Jesus15@gmail.com;928 004 073;https://stingy-therapist.info/;drat boogie jell;dare foolishly;whimsical;behind strictly hose;Bolivia;abstract thankfully unlucky;2024-03-26T22:26:59;2024-03-26T23:54:40
